numeroInscripcion	razonSocial	localidad	provincia	telefono	cuit	email
1FG	"RIVARA S.A."	ALBERTI	"BUENOS AIRES"	02346-472000	30601191640	mariano.olivero@rivara.com.ar
5F	"LUIS DUSSO Y CIA. S.A.C.A.G."	"PEREZ MILLAN"	"BUENOS AIRES"	03329-492027	33516727409	luisdussosa@perezmillan.com.ar
7ADEFG	"CRIADERO EL CENCERRO S.A."	"CORONEL SUAREZ"	"BUENOS AIRES"	02926-430152/432122	30614907521	semillas@criaderoelcencerro.com.ar
10ABCDEFGHI	"PALAVERSICH Y CIA. S.A.C."	PERGAMINO	"BUENOS AIRES"	02477-433230	30523522961	jbologna@barenbrug.com.ar
13DEF	"COOP. AGRIC. DE MONTE MAIZ LTDA."	"MONTE MAIZ"	CORDOBA	03468-471659/768	30533319315	coopmmaiz4@futurnetmm.com.ar
24CDF	"COOP AGROPECUARIA EL PROGRESO DE HENDERSON LTDA"	HENDERSON	"BUENOS AIRES"	02314-451500/452053	30507913411	info@elprogresocoop.com.ar
29CDEFG	"LAS ESTACAS DE CHACABUCO S.A."	CHACABUCO	"BUENOS AIRES"	02352-431525	30602466600	
32DF	"COOP. AGROP. DE BOLIVAR LTDA."	BOLIVAR	"BUENOS AIRES"	02314-420310/11	30511458028	coopabol@speedy.com.ar
42DF	"AGRONORT S.A"	PERGAMINO	"BUENOS AIRES"	02477-440251	30636958340	gbaccelli@agronort.com
49DFG	"MARIO CALANDRI E HIJOS S.A."	PERGAMINO	"BUENOS AIRES"	02477-430790	30541706476	rcalandri@calandri.com.ar
